day	app	value
33_03/21/2020	Keynote	0
33_03/21/2020	Lightroom	0
33_03/21/2020	Mail	0
33_03/21/2020	Microsoft PowerPoint	0
33_03/21/2020	Microsoft Teams	3
33_03/21/2020	Pages	0
33_03/21/2020	Photoshop CC	196
33_03/21/2020	Safari	120
33_03/21/2020	Skype	2
33_03/21/2020	Sublime Text	0
33_03/21/2020	WhatsApp	0
33_03/21/2020	iMovie	0
33_03/21/2020	zoom.us	0
34_03/22/2020	Adobe Illustrator CC 2018	0
34_03/22/2020	FaceTime	0
34_03/22/2020	Firefox	0
34_03/22/2020	Google Chrome	0
34_03/22/2020	InDesign CC	0
34_03/22/2020	Keynote	0
34_03/22/2020	Lightroom	0
34_03/22/2020	Mail	0
34_03/22/2020	Microsoft PowerPoint	0
34_03/22/2020	Microsoft Teams	0
34_03/22/2020	Pages	0
34_03/22/2020	Photoshop CC	301
34_03/22/2020	Safari	382
34_03/22/2020	Skype	0
34_03/22/2020	Sublime Text	0
34_03/22/2020	WhatsApp	0
34_03/22/2020	iMovie	0
34_03/22/2020	zoom.us	0
35_03/23/2020	Adobe Illustrator CC 2018	0
35_03/23/2020	FaceTime	0
35_03/23/2020	Firefox	0
35_03/23/2020	Google Chrome	0
35_03/23/2020	InDesign CC	0
35_03/23/2020	Keynote	0
35_03/23/2020	Lightroom	0
35_03/23/2020	Mail	1
35_03/23/2020	Microsoft PowerPoint	0
35_03/23/2020	Microsoft Teams	0
35_03/23/2020	Pages	0
35_03/23/2020	Photoshop CC	245
35_03/23/2020	Safari	74
35_03/23/2020	Skype	0
35_03/23/2020	Sublime Text	0
35_03/23/2020	WhatsApp	0
35_03/23/2020	iMovie	0
35_03/23/2020	zoom.us	0
36_03/24/2020	Adobe Illustrator CC 2018	0
36_03/24/2020	FaceTime	0
36_03/24/2020	Firefox	0
36_03/24/2020	Google Chrome	0
36_03/24/2020	InDesign CC	0
36_03/24/2020	Keynote	0
36_03/24/2020	Lightroom	0
36_03/24/2020	Mail	0
36_03/24/2020	Microsoft PowerPoint	0
36_03/24/2020	Microsoft Teams	6
36_03/24/2020	Pages	0
36_03/24/2020	Photoshop CC	240
36_03/24/2020	Safari	131
36_03/24/2020	Skype	0
36_03/24/2020	Sublime Text	0
36_03/24/2020	WhatsApp	0
36_03/24/2020	iMovie	0
36_03/24/2020	zoom.us	0
37_03/25/2020	Adobe Illustrator CC 2018	0
37_03/25/2020	FaceTime	0
37_03/25/2020	Firefox	0
37_03/25/2020	Google Chrome	2
37_03/25/2020	InDesign CC	0
37_03/25/2020	Keynote	0
37_03/25/2020	Lightroom	0
37_03/25/2020	Mail	0
37_03/25/2020	Microsoft PowerPoint	0
37_03/25/2020	Microsoft Teams	171
37_03/25/2020	Pages	3
37_03/25/2020	Photoshop CC	74
37_03/25/2020	Safari	193
37_03/25/2020	Skype	0
37_03/25/2020	Sublime Text	88
37_03/25/2020	WhatsApp	0
37_03/25/2020	iMovie	0
37_03/25/2020	zoom.us	0
38_03/26/2020	Adobe Illustrator CC 2018	0
38_03/26/2020	FaceTime	0
38_03/26/2020	Firefox	0
38_03/26/2020	Google Chrome	0
38_03/26/2020	InDesign CC	0
38_03/26/2020	Keynote	0
38_03/26/2020	Lightroom	0
38_03/26/2020	Mail	0
38_03/26/2020	Microsoft PowerPoint	0
38_03/26/2020	Microsoft Teams	0
38_03/26/2020	Pages	1
38_03/26/2020	Photoshop CC	18
38_03/26/2020	Safari	299
38_03/26/2020	Skype	0
38_03/26/2020	Sublime Text	94
38_03/26/2020	WhatsApp	0
38_03/26/2020	iMovie	0
38_03/26/2020	zoom.us	0
39_03/27/2020	Adobe Illustrator CC 2018	0
39_03/27/2020	FaceTime	0
39_03/27/2020	Firefox	0
39_03/27/2020	Google Chrome	0
39_03/27/2020	InDesign CC	0
39_03/27/2020	Keynote	0
39_03/27/2020	Lightroom	0
39_03/27/2020	Mail	0
39_03/27/2020	Microsoft PowerPoint	0
39_03/27/2020	Microsoft Teams	0
39_03/27/2020	Pages	0
39_03/27/2020	Photoshop CC	288
39_03/27/2020	Safari	216
39_03/27/2020	Skype	10
39_03/27/2020	Sublime Text	0
39_03/27/2020	WhatsApp	48
39_03/27/2020	iMovie	0
39_03/27/2020	zoom.us	0
40_03/28/2020	Adobe Illustrator CC 2018	0
40_03/28/2020	FaceTime	0
40_03/28/2020	Firefox	0
40_03/28/2020	Google Chrome	0
40_03/28/2020	InDesign CC	0
40_03/28/2020	Keynote	0
40_03/28/2020	Lightroom	0
40_03/28/2020	Mail	0
40_03/28/2020	Microsoft PowerPoint	0
40_03/28/2020	Microsoft Teams	0
40_03/28/2020	Pages	36
40_03/28/2020	Photoshop CC	410
40_03/28/2020	Safari	24
40_03/28/2020	Skype	0
40_03/28/2020	Sublime Text	0
40_03/28/2020	WhatsApp	0
40_03/28/2020	iMovie	0
40_03/28/2020	zoom.us	0
41_03/29/2020	Adobe Illustrator CC 2018	0
41_03/29/2020	FaceTime	0
41_03/29/2020	Firefox	0
41_03/29/2020	Google Chrome	0
41_03/29/2020	InDesign CC	0
41_03/29/2020	Keynote	0
41_03/29/2020	Lightroom	0
41_03/29/2020	Mail	0
41_03/29/2020	Microsoft PowerPoint	1
41_03/29/2020	Microsoft Teams	0
41_03/29/2020	Pages	0
41_03/29/2020	Photoshop CC	268
41_03/29/2020	Safari	3
41_03/29/2020	Skype	0
41_03/29/2020	Sublime Text	0
41_03/29/2020	WhatsApp	0
41_03/29/2020	iMovie	0
41_03/29/2020	zoom.us	0
42_03/30/2020	Adobe Illustrator CC 2018	0
42_03/30/2020	FaceTime	0
42_03/30/2020	Firefox	0
42_03/30/2020	Google Chrome	0
42_03/30/2020	InDesign CC	0
42_03/30/2020	Keynote	0
42_03/30/2020	Lightroom	0
42_03/30/2020	Mail	0
42_03/30/2020	Microsoft PowerPoint	0
42_03/30/2020	Microsoft Teams	93
42_03/30/2020	Pages	0
42_03/30/2020	Photoshop CC	548
42_03/30/2020	Safari	37
42_03/30/2020	Skype	0
42_03/30/2020	Sublime Text	0
42_03/30/2020	WhatsApp	0
42_03/30/2020	iMovie	0
42_03/30/2020	zoom.us	0
43_03/31/2020	Adobe Illustrator CC 2018	0
43_03/31/2020	FaceTime	0
43_03/31/2020	Firefox	0
43_03/31/2020	Google Chrome	0
43_03/31/2020	InDesign CC	0
43_03/31/2020	Keynote	0
43_03/31/2020	Lightroom	0
43_03/31/2020	Mail	0
43_03/31/2020	Microsoft PowerPoint	0
43_03/31/2020	Microsoft Teams	0
43_03/31/2020	Pages	0
43_03/31/2020	Photoshop CC	0
43_03/31/2020	Safari	107
43_03/31/2020	Skype	0
43_03/31/2020	Sublime Text	0
43_03/31/2020	WhatsApp	0
43_03/31/2020	iMovie	0
43_03/31/2020	zoom.us	1
44_04/01/2020	Adobe Illustrator CC 2018	0
44_04/01/2020	FaceTime	0
44_04/01/2020	Firefox	0
44_04/01/2020	Google Chrome	0
44_04/01/2020	InDesign CC	284
44_04/01/2020	Keynote	0
44_04/01/2020	Lightroom	0
44_04/01/2020	Mail	0
44_04/01/2020	Microsoft PowerPoint	0
44_04/01/2020	Microsoft Teams	0
44_04/01/2020	Pages	4
44_04/01/2020	Photoshop CC	0
44_04/01/2020	Safari	317
44_04/01/2020	Skype	0
44_04/01/2020	Sublime Text	0
44_04/01/2020	WhatsApp	9
44_04/01/2020	iMovie	3
44_04/01/2020	zoom.us	90
45_04/02/2020	Adobe Illustrator CC 2018	0
45_04/02/2020	FaceTime	0
45_04/02/2020	Firefox	77
45_04/02/2020	Google Chrome	1
45_04/02/2020	InDesign CC	1
45_04/02/2020	Keynote	0
45_04/02/2020	Lightroom	0
45_04/02/2020	Mail	0
45_04/02/2020	Microsoft PowerPoint	0
45_04/02/2020	Microsoft Teams	0
45_04/02/2020	Pages	32
45_04/02/2020	Photoshop CC	139
45_04/02/2020	Safari	112
45_04/02/2020	Skype	154
45_04/02/2020	Sublime Text	0
45_04/02/2020	WhatsApp	9
45_04/02/2020	iMovie	0
45_04/02/2020	zoom.us	0
46_04/03/2020	Adobe Illustrator CC 2018	0
46_04/03/2020	FaceTime	0
46_04/03/2020	Firefox	0
46_04/03/2020	Google Chrome	0
46_04/03/2020	InDesign CC	0
46_04/03/2020	Keynote	0
46_04/03/2020	Lightroom	0
46_04/03/2020	Mail	0
46_04/03/2020	Microsoft PowerPoint	0
46_04/03/2020	Microsoft Teams	0
46_04/03/2020	Pages	0
46_04/03/2020	Photoshop CC	409
46_04/03/2020	Safari	90
46_04/03/2020	Skype	45
46_04/03/2020	Sublime Text	0
46_04/03/2020	WhatsApp	0
46_04/03/2020	iMovie	0
46_04/03/2020	zoom.us	0
47_04/04/2020	Adobe Illustrator CC 2018	0
47_04/04/2020	FaceTime	0
47_04/04/2020	Firefox	0
47_04/04/2020	Google Chrome	0
47_04/04/2020	InDesign CC	0
47_04/04/2020	Keynote	0
47_04/04/2020	Lightroom	0
47_04/04/2020	Mail	0
47_04/04/2020	Microsoft PowerPoint	0
47_04/04/2020	Microsoft Teams	0
47_04/04/2020	Pages	0
47_04/04/2020	Photoshop CC	180
47_04/04/2020	Safari	9
47_04/04/2020	Skype	0
47_04/04/2020	Sublime Text	0
47_04/04/2020	WhatsApp	4
47_04/04/2020	iMovie	0
47_04/04/2020	zoom.us	0
48_04/05/2020	Adobe Illustrator CC 2018	0
48_04/05/2020	FaceTime	0
48_04/05/2020	Firefox	0
48_04/05/2020	Google Chrome	0
48_04/05/2020	InDesign CC	0
48_04/05/2020	Keynote	0
48_04/05/2020	Lightroom	0
48_04/05/2020	Mail	0
48_04/05/2020	Microsoft PowerPoint	0
48_04/05/2020	Microsoft Teams	0
48_04/05/2020	Pages	0
48_04/05/2020	Photoshop CC	0
48_04/05/2020	Safari	136
48_04/05/2020	Skype	0
48_04/05/2020	Sublime Text	48
48_04/05/2020	WhatsApp	0
48_04/05/2020	iMovie	0
48_04/05/2020	zoom.us	0
49_04/06/2020	Adobe Illustrator CC 2018	0
49_04/06/2020	FaceTime	0
49_04/06/2020	Firefox	0
49_04/06/2020	Google Chrome	0
49_04/06/2020	InDesign CC	0
49_04/06/2020	Keynote	0
49_04/06/2020	Lightroom	0
49_04/06/2020	Mail	0
49_04/06/2020	Microsoft PowerPoint	0
49_04/06/2020	Microsoft Teams	0
49_04/06/2020	Pages	0
49_04/06/2020	Photoshop CC	81
49_04/06/2020	Safari	168
49_04/06/2020	Skype	0
49_04/06/2020	Sublime Text	71
49_04/06/2020	WhatsApp	0
49_04/06/2020	iMovie	0
49_04/06/2020	zoom.us	0
50_04/07/2020	Adobe Illustrator CC 2018	0
50_04/07/2020	FaceTime	0
50_04/07/2020	Firefox	0
50_04/07/2020	Google Chrome	0
50_04/07/2020	InDesign CC	52
50_04/07/2020	Keynote	0
50_04/07/2020	Lightroom	0
50_04/07/2020	Mail	0
50_04/07/2020	Microsoft PowerPoint	0
50_04/07/2020	Microsoft Teams	19
50_04/07/2020	Pages	0
50_04/07/2020	Photoshop CC	3
50_04/07/2020	Safari	259
50_04/07/2020	Skype	0
50_04/07/2020	Sublime Text	149
50_04/07/2020	WhatsApp	0
50_04/07/2020	iMovie	0
50_04/07/2020	zoom.us	80
51_04/08/2020	Adobe Illustrator CC 2018	0
51_04/08/2020	FaceTime	0
51_04/08/2020	Firefox	0
51_04/08/2020	Google Chrome	0
51_04/08/2020	InDesign CC	0
51_04/08/2020	Keynote	0
51_04/08/2020	Lightroom	0
51_04/08/2020	Mail	0
51_04/08/2020	Microsoft PowerPoint	0
51_04/08/2020	Microsoft Teams	0
51_04/08/2020	Pages	0
51_04/08/2020	Photoshop CC	0
51_04/08/2020	Safari	264
51_04/08/2020	Skype	25
51_04/08/2020	Sublime Text	135
51_04/08/2020	WhatsApp	0
51_04/08/2020	iMovie	0
51_04/08/2020	zoom.us	92
52_04/09/2020	Adobe Illustrator CC 2018	0
52_04/09/2020	FaceTime	0
52_04/09/2020	Firefox	0
52_04/09/2020	Google Chrome	0
52_04/09/2020	InDesign CC	0
52_04/09/2020	Keynote	0
52_04/09/2020	Lightroom	0
52_04/09/2020	Mail	0
52_04/09/2020	Microsoft PowerPoint	0
52_04/09/2020	Microsoft Teams	0
52_04/09/2020	Pages	0
52_04/09/2020	Photoshop CC	0
52_04/09/2020	Safari	108
52_04/09/2020	Skype	0
52_04/09/2020	Sublime Text	1
52_04/09/2020	WhatsApp	1
52_04/09/2020	iMovie	0
52_04/09/2020	zoom.us	98
53_04/10/2020	Adobe Illustrator CC 2018	0
53_04/10/2020	FaceTime	0
53_04/10/2020	Firefox	0
53_04/10/2020	Google Chrome	0
53_04/10/2020	InDesign CC	0
53_04/10/2020	Keynote	0
53_04/10/2020	Lightroom	0
53_04/10/2020	Mail	0
53_04/10/2020	Microsoft PowerPoint	0
53_04/10/2020	Microsoft Teams	85
53_04/10/2020	Pages	0
53_04/10/2020	Photoshop CC	0
53_04/10/2020	Safari	23
53_04/10/2020	Skype	70
53_04/10/2020	Sublime Text	0
53_04/10/2020	WhatsApp	0
53_04/10/2020	iMovie	0
53_04/10/2020	zoom.us	0
54_04/12/2020	Adobe Illustrator CC 2018	0
54_04/12/2020	FaceTime	0
54_04/12/2020	Firefox	0
54_04/12/2020	Google Chrome	0
54_04/12/2020	InDesign CC	16
54_04/12/2020	Keynote	0
54_04/12/2020	Lightroom	0
54_04/12/2020	Mail	0
54_04/12/2020	Microsoft PowerPoint	0
54_04/12/2020	Microsoft Teams	0
54_04/12/2020	Pages	0
54_04/12/2020	Photoshop CC	32
54_04/12/2020	Safari	55
54_04/12/2020	Skype	0
54_04/12/2020	Sublime Text	0
54_04/12/2020	WhatsApp	0
54_04/12/2020	iMovie	0
54_04/12/2020	zoom.us	0
55_04/13/2020	Adobe Illustrator CC 2018	0
55_04/13/2020	FaceTime	139
55_04/13/2020	Firefox	0
55_04/13/2020	Google Chrome	0
55_04/13/2020	InDesign CC	130
55_04/13/2020	Keynote	0
55_04/13/2020	Lightroom	0
55_04/13/2020	Mail	0
55_04/13/2020	Microsoft PowerPoint	0
55_04/13/2020	Microsoft Teams	0
55_04/13/2020	Pages	0
55_04/13/2020	Photoshop CC	349
55_04/13/2020	Safari	15
55_04/13/2020	Skype	2
55_04/13/2020	Sublime Text	0
55_04/13/2020	WhatsApp	17
55_04/13/2020	iMovie	0
55_04/13/2020	zoom.us	0
56_04/14/2020	Adobe Illustrator CC 2018	0
56_04/14/2020	FaceTime	0
56_04/14/2020	Firefox	0
56_04/14/2020	Google Chrome	0
56_04/14/2020	InDesign CC	50
56_04/14/2020	Keynote	0
56_04/14/2020	Lightroom	0
56_04/14/2020	Mail	0
56_04/14/2020	Microsoft PowerPoint	0
56_04/14/2020	Microsoft Teams	0
56_04/14/2020	Pages	0
56_04/14/2020	Photoshop CC	287
56_04/14/2020	Safari	267
56_04/14/2020	Skype	0
56_04/14/2020	Sublime Text	0
56_04/14/2020	WhatsApp	0
56_04/14/2020	iMovie	0
56_04/14/2020	zoom.us	0
57_04/15/2020	Adobe Illustrator CC 2018	0
57_04/15/2020	FaceTime	0
57_04/15/2020	Firefox	0
57_04/15/2020	Google Chrome	0
57_04/15/2020	InDesign CC	95
57_04/15/2020	Keynote	0
57_04/15/2020	Lightroom	0
57_04/15/2020	Mail	0
57_04/15/2020	Microsoft PowerPoint	0
57_04/15/2020	Microsoft Teams	0
57_04/15/2020	Pages	0
57_04/15/2020	Photoshop CC	146
57_04/15/2020	Safari	141
57_04/15/2020	Skype	0
57_04/15/2020	Sublime Text	231
57_04/15/2020	WhatsApp	0
57_04/15/2020	iMovie	0
57_04/15/2020	zoom.us	0
58_04/16/2020	Adobe Illustrator CC 2018	0
58_04/16/2020	FaceTime	0
58_04/16/2020	Firefox	0
58_04/16/2020	Google Chrome	0
58_04/16/2020	InDesign CC	3
58_04/16/2020	Keynote	0
58_04/16/2020	Lightroom	0
58_04/16/2020	Mail	0
58_04/16/2020	Microsoft PowerPoint	0
58_04/16/2020	Microsoft Teams	125
58_04/16/2020	Pages	0
58_04/16/2020	Photoshop CC	42
58_04/16/2020	Safari	149
58_04/16/2020	Skype	3
