day	app	value
45_04/08/2020	10_zoom.us	0
45_04/08/2020	11_Photoshop	3
45_04/08/2020	12_Adobe After Effects	0
45_04/08/2020	13_Sparkle	0
45_04/08/2020	14_Mail	16
45_04/08/2020	15_Acrobat Pro DC	0
45_04/08/2020	16_Adobe Illustrator 2020	0
45_04/08/2020	17_QuickTime Player	0
46_04/09/2020	01_Safari	282
46_04/09/2020	02_InDesign	1
46_04/09/2020	03_Finder	38
46_04/09/2020	04_Sublime Text	184
46_04/09/2020	05_Skype	1
46_04/09/2020	06_Microsoft Word	100
46_04/09/2020	07_Microsoft Teams	0
46_04/09/2020	08_WhatsApp	0
46_04/09/2020	09_Adobe Premiere Pro 2020	0
46_04/09/2020	10_zoom.us	96
46_04/09/2020	11_Photoshop	0
46_04/09/2020	12_Adobe After Effects	0
46_04/09/2020	13_Sparkle	0
46_04/09/2020	14_Mail	3
46_04/09/2020	15_Acrobat Pro DC	0
46_04/09/2020	16_Adobe Illustrator 2020	0
46_04/09/2020	17_QuickTime Player	0
47_04/10/2020	01_Safari	176
47_04/10/2020	02_InDesign	98
47_04/10/2020	03_Finder	7
47_04/10/2020	04_Sublime Text	0
47_04/10/2020	05_Skype	75
47_04/10/2020	06_Microsoft Word	1
47_04/10/2020	07_Microsoft Teams	0
47_04/10/2020	08_WhatsApp	0
47_04/10/2020	09_Adobe Premiere Pro 2020	0
47_04/10/2020	10_zoom.us	0
47_04/10/2020	11_Photoshop	0
47_04/10/2020	12_Adobe After Effects	0
47_04/10/2020	13_Sparkle	0
47_04/10/2020	14_Mail	5
47_04/10/2020	15_Acrobat Pro DC	40
47_04/10/2020	16_Adobe Illustrator 2020	0
47_04/10/2020	17_QuickTime Player	0
48_04/11/2020	01_Safari	176
48_04/11/2020	02_InDesign	138
48_04/11/2020	03_Finder	20
48_04/11/2020	04_Sublime Text	0
48_04/11/2020	05_Skype	68
48_04/11/2020	06_Microsoft Word	0
48_04/11/2020	07_Microsoft Teams	0
48_04/11/2020	08_WhatsApp	0
48_04/11/2020	09_Adobe Premiere Pro 2020	0
48_04/11/2020	10_zoom.us	0
48_04/11/2020	11_Photoshop	11
48_04/11/2020	12_Adobe After Effects	0
48_04/11/2020	13_Sparkle	0
48_04/11/2020	14_Mail	2
48_04/11/2020	15_Acrobat Pro DC	3
48_04/11/2020	16_Adobe Illustrator 2020	0
48_04/11/2020	17_QuickTime Player	95
49_04/12/2020	01_Safari	175
49_04/12/2020	02_InDesign	145
49_04/12/2020	03_Finder	44
49_04/12/2020	04_Sublime Text	0
49_04/12/2020	05_Skype	36
49_04/12/2020	06_Microsoft Word	0
49_04/12/2020	07_Microsoft Teams	0
49_04/12/2020	08_WhatsApp	0
49_04/12/2020	09_Adobe Premiere Pro 2020	0
49_04/12/2020	10_zoom.us	0
49_04/12/2020	11_Photoshop	168
49_04/12/2020	12_Adobe After Effects	0
49_04/12/2020	13_Sparkle	0
49_04/12/2020	14_Mail	2
49_04/12/2020	15_Acrobat Pro DC	2
49_04/12/2020	16_Adobe Illustrator 2020	0
49_04/12/2020	17_QuickTime Player	0
50_04/13/2020	01_Safari	279
50_04/13/2020	02_InDesign	144
50_04/13/2020	03_Finder	14
50_04/13/2020	04_Sublime Text	0
50_04/13/2020	05_Skype	6
50_04/13/2020	06_Microsoft Word	34
50_04/13/2020	07_Microsoft Teams	0
50_04/13/2020	08_WhatsApp	0
50_04/13/2020	09_Adobe Premiere Pro 2020	0
50_04/13/2020	10_zoom.us	0
50_04/13/2020	11_Photoshop	3
50_04/13/2020	12_Adobe After Effects	0
50_04/13/2020	13_Sparkle	0
50_04/13/2020	14_Mail	2
50_04/13/2020	15_Acrobat Pro DC	0
50_04/13/2020	16_Adobe Illustrator 2020	0
50_04/13/2020	17_QuickTime Player	0
51_04/14/2020	01_Safari	367
51_04/14/2020	02_InDesign	140
51_04/14/2020	03_Finder	46
51_04/14/2020	04_Sublime Text	0
51_04/14/2020	05_Skype	90
51_04/14/2020	06_Microsoft Word	1
51_04/14/2020	07_Microsoft Teams	0
51_04/14/2020	08_WhatsApp	9
51_04/14/2020	09_Adobe Premiere Pro 2020	0
51_04/14/2020	10_zoom.us	0
51_04/14/2020	11_Photoshop	10
51_04/14/2020	12_Adobe After Effects	0
51_04/14/2020	13_Sparkle	0
51_04/14/2020	14_Mail	15
51_04/14/2020	15_Acrobat Pro DC	15
51_04/14/2020	16_Adobe Illustrator 2020	2
51_04/14/2020	17_QuickTime Player	0
52_04/15/2020	01_Safari	148
52_04/15/2020	02_InDesign	144
52_04/15/2020	03_Finder	22
52_04/15/2020	04_Sublime Text	0
52_04/15/2020	05_Skype	78
52_04/15/2020	06_Microsoft Word	0
52_04/15/2020	07_Microsoft Teams	0
52_04/15/2020	08_WhatsApp	0
52_04/15/2020	09_Adobe Premiere Pro 2020	0
52_04/15/2020	10_zoom.us	0
52_04/15/2020	11_Photoshop	96
52_04/15/2020	12_Adobe After Effects	0
52_04/15/2020	13_Sparkle	0
52_04/15/2020	14_Mail	1
52_04/15/2020	15_Acrobat Pro DC	9
52_04/15/2020	16_Adobe Illustrator 2020	0
52_04/15/2020	17_QuickTime Player	0
53_04/16/2020	01_Safari	123
53_04/16/2020	02_InDesign	1
53_04/16/2020	03_Finder	3
53_04/16/2020	04_Sublime Text	0
53_04/16/2020	05_Skype	43
53_04/16/2020	06_Microsoft Word	0
53_04/16/2020	07_Microsoft Teams	0
53_04/16/2020	08_WhatsApp	0
53_04/16/2020	09_Adobe Premiere Pro 2020	0
53_04/16/2020	10_zoom.us	0
53_04/16/2020	11_Photoshop	0
53_04/16/2020	12_Adobe After Effects	0
53_04/16/2020	13_Sparkle	0
53_04/16/2020	14_Mail	0
53_04/16/2020	15_Acrobat Pro DC	0
53_04/16/2020	16_Adobe Illustrator 2020	0
53_04/16/2020	17_QuickTime Player	0
54_04/17/2020	01_Safari	113
54_04/17/2020	02_InDesign	0
54_04/17/2020	03_Finder	0
54_04/17/2020	04_Sublime Text	0
54_04/17/2020	05_Skype	0
54_04/17/2020	06_Microsoft Word	0
54_04/17/2020	07_Microsoft Teams	0
54_04/17/2020	08_WhatsApp	0
54_04/17/2020	09_Adobe Premiere Pro 2020	0
54_04/17/2020	10_zoom.us	0
54_04/17/2020	11_Photoshop	0
54_04/17/2020	12_Adobe After Effects	0
54_04/17/2020	13_Sparkle	0
54_04/17/2020	14_Mail	1
54_04/17/2020	15_Acrobat Pro DC	2
54_04/17/2020	16_Adobe Illustrator 2020	0
54_04/17/2020	17_QuickTime Player	0
55_04/18/2020	01_Safari	137
55_04/18/2020	02_InDesign	0
55_04/18/2020	03_Finder	653
55_04/18/2020	04_Sublime Text	0
55_04/18/2020	05_Skype	0
55_04/18/2020	06_Microsoft Word	0
55_04/18/2020	07_Microsoft Teams	0
55_04/18/2020	08_WhatsApp	0
55_04/18/2020	09_Adobe Premiere Pro 2020	0
55_04/18/2020	10_zoom.us	0
55_04/18/2020	11_Photoshop	0
55_04/18/2020	12_Adobe After Effects	0
55_04/18/2020	13_Sparkle	0
55_04/18/2020	14_Mail	1
55_04/18/2020	15_Acrobat Pro DC	0
55_04/18/2020	16_Adobe Illustrator 2020	0
55_04/18/2020	17_QuickTime Player	0
56_04/19/2020	01_Safari	46
56_04/19/2020	02_InDesign	90
56_04/19/2020	03_Finder	15
56_04/19/2020	04_Sublime Text	0
56_04/19/2020	05_Skype	0
56_04/19/2020	06_Microsoft Word	0
56_04/19/2020	07_Microsoft Teams	0
56_04/19/2020	08_WhatsApp	0
56_04/19/2020	09_Adobe Premiere Pro 2020	66
56_04/19/2020	10_zoom.us	0
56_04/19/2020	11_Photoshop	0
56_04/19/2020	12_Adobe After Effects	0
56_04/19/2020	13_Sparkle	0
56_04/19/2020	14_Mail	0
56_04/19/2020	15_Acrobat Pro DC	0
56_04/19/2020	16_Adobe Illustrator 2020	0
56_04/19/2020	17_QuickTime Player	0
57_04/20/2020	01_Safari	181
57_04/20/2020	02_InDesign	38
57_04/20/2020	03_Finder	35
57_04/20/2020	04_Sublime Text	0
57_04/20/2020	05_Skype	0
57_04/20/2020	06_Microsoft Word	6
57_04/20/2020	07_Microsoft Teams	134
57_04/20/2020	08_WhatsApp	90
57_04/20/2020	09_Adobe Premiere Pro 2020	21
57_04/20/2020	10_zoom.us	0
57_04/20/2020	11_Photoshop	34
57_04/20/2020	12_Adobe After Effects	0
57_04/20/2020	13_Sparkle	177
57_04/20/2020	14_Mail	0
57_04/20/2020	15_Acrobat Pro DC	46
57_04/20/2020	16_Adobe Illustrator 2020	9
57_04/20/2020	17_QuickTime Player	0
58_04/21/2020	01_Safari	104
58_04/21/2020	02_InDesign	46
58_04/21/2020	03_Finder	63
58_04/21/2020	04_Sublime Text	0
58_04/21/2020	05_Skype	0
58_04/21/2020	06_Microsoft Word	10
58_04/21/2020	07_Microsoft Teams	231
58_04/21/2020	08_WhatsApp	1
58_04/21/2020	09_Adobe Premiere Pro 2020	37
58_04/21/2020	10_zoom.us	0
58_04/21/2020	11_Photoshop	9
58_04/21/2020	12_Adobe After Effects	0
58_04/21/2020	13_Sparkle	211
58_04/21/2020	14_Mail	10
58_04/21/2020	15_Acrobat Pro DC	4
58_04/21/2020	16_Adobe Illustrator 2020	25
58_04/21/2020	17_QuickTime Player	0
59_04/22/2020	01_Safari	62
59_04/22/2020	02_InDesign	0
59_04/22/2020	03_Finder	60
59_04/22/2020	04_Sublime Text	0
59_04/22/2020	05_Skype	0
59_04/22/2020	06_Microsoft Word	20
59_04/22/2020	07_Microsoft Teams	109
59_04/22/2020	08_WhatsApp	2
59_04/22/2020	09_Adobe Premiere Pro 2020	70
59_04/22/2020	10_zoom.us	0
59_04/22/2020	11_Photoshop	2
59_04/22/2020	12_Adobe After Effects	1
59_04/22/2020	13_Sparkle	13
59_04/22/2020	14_Mail	2
59_04/22/2020	15_Acrobat Pro DC	0
59_04/22/2020	16_Adobe Illustrator 2020	0
59_04/22/2020	17_QuickTime Player	0
60_04/23/2020	01_Safari	75
60_04/23/2020	02_InDesign	0
60_04/23/2020	03_Finder	15
60_04/23/2020	04_Sublime Text	0
60_04/23/2020	05_Skype	0
60_04/23/2020	06_Microsoft Word	3
60_04/23/2020	07_Microsoft Teams	140
60_04/23/2020	08_WhatsApp	9
60_04/23/2020	09_Adobe Premiere Pro 2020	1
60_04/23/2020	10_zoom.us	0
60_04/23/2020	11_Photoshop	56
60_04/23/2020	12_Adobe After Effects	284
60_04/23/2020	13_Sparkle	28
60_04/23/2020	14_Mail	1
60_04/23/2020	15_Acrobat Pro DC	0
60_04/23/2020	16_Adobe Illustrator 2020	2
60_04/23/2020	17_QuickTime Player	1
61_04/24/2020	01_Safari	81
61_04/24/2020	02_InDesign	32
61_04/24/2020	03_Finder	30
61_04/24/2020	04_Sublime Text	0
61_04/24/2020	05_Skype	12
61_04/24/2020	06_Microsoft Word	0
61_04/24/2020	07_Microsoft Teams	99
61_04/24/2020	08_WhatsApp	9
61_04/24/2020	09_Adobe Premiere Pro 2020	0
61_04/24/2020	10_zoom.us	0
61_04/24/2020	11_Photoshop	12
61_04/24/2020	12_Adobe After Effects	137
61_04/24/2020	13_Sparkle	63
61_04/24/2020	14_Mail	4
61_04/24/2020	15_Acrobat Pro DC	5
61_04/24/2020	16_Adobe Illustrator 2020	1
61_04/24/2020	17_QuickTime Player	2
62_04/25/2020	01_Safari	18
62_04/25/2020	02_InDesign	76
62_04/25/2020	03_Finder	18
62_04/25/2020	04_Sublime Text	0
62_04/25/2020	05_Skype	19
62_04/25/2020	06_Microsoft Word	48
62_04/25/2020	07_Microsoft Teams	0
62_04/25/2020	08_WhatsApp	22
62_04/25/2020	09_Adobe Premiere Pro 2020	0
62_04/25/2020	10_zoom.us	0
62_04/25/2020	11_Photoshop	0
62_04/25/2020	12_Adobe After Effects	0
62_04/25/2020	13_Sparkle	0
62_04/25/2020	14_Mail	1
62_04/25/2020	15_Acrobat Pro DC	9
62_04/25/2020	16_Adobe Illustrator 2020	0
62_04/25/2020	17_QuickTime Player	0
63_04/26/2020	01_Safari	160
63_04/26/2020	02_InDesign	198
63_04/26/2020	03_Finder	44
63_04/26/2020	04_Sublime Text	0
63_04/26/2020	05_Skype	72
63_04/26/2020	06_Microsoft Word	0
63_04/26/2020	07_Microsoft Teams	0
63_04/26/2020	08_WhatsApp	96
63_04/26/2020	09_Adobe Premiere Pro 2020	0
63_04/26/2020	10_zoom.us	0
63_04/26/2020	11_Photoshop	7
63_04/26/2020	12_Adobe After Effects	0
63_04/26/2020	13_Sparkle	0
63_04/26/2020	14_Mail	2
63_04/26/2020	15_Acrobat Pro DC	2
63_04/26/2020	16_Adobe Illustrator 2020	36
63_04/26/2020	17_QuickTime Player	0
64_04/27/2020	01_Safari	207
64_04/27/2020	02_InDesign	28
64_04/27/2020	03_Finder	18
64_04/27/2020	04_Sublime Text	2
64_04/27/2020	05_Skype	73
64_04/27/2020	06_Microsoft Word	86
