day	app	value
34_03/20/2020	Anteprima	0
34_03/20/2020	Finder	25
34_03/20/2020	Foto	0
34_03/20/2020	Google Chrome	0
34_03/20/2020	InDesign	0
34_03/20/2020	Photoshop CC	26
34_03/20/2020	QuickTime Player	72
34_03/20/2020	Safari	28
34_03/20/2020	Skype	0
34_03/20/2020	Sublime Text	0
34_03/20/2020	Telegram	4
34_03/20/2020	TextEdit	0
34_03/20/2020	WhatsApp	2
35_03/21/2020	Adobe After Effects CC 2019 (16.1.1)	0
35_03/21/2020	Adobe Illustrator 2019	1
35_03/21/2020	Adobe Premiere Pro CC 2019	0
35_03/21/2020	Anteprima	11
35_03/21/2020	Finder	24
35_03/21/2020	Foto	0
35_03/21/2020	Google Chrome	0
35_03/21/2020	InDesign	0
35_03/21/2020	Photoshop CC	27
35_03/21/2020	QuickTime Player	147
35_03/21/2020	Safari	113
35_03/21/2020	Skype	0
35_03/21/2020	Sublime Text	0
35_03/21/2020	Telegram	0
35_03/21/2020	TextEdit	0
35_03/21/2020	WhatsApp	24
36_03/22/2020	Adobe After Effects CC 2019 (16.1.1)	0
36_03/22/2020	Adobe Illustrator 2019	0
36_03/22/2020	Adobe Premiere Pro CC 2019	0
36_03/22/2020	Anteprima	0
36_03/22/2020	Finder	40
36_03/22/2020	Foto	0
36_03/22/2020	Google Chrome	0
36_03/22/2020	InDesign	0
36_03/22/2020	Photoshop CC	38
36_03/22/2020	QuickTime Player	82
36_03/22/2020	Safari	94
36_03/22/2020	Skype	0
36_03/22/2020	Sublime Text	0
36_03/22/2020	Telegram	6
36_03/22/2020	TextEdit	0
36_03/22/2020	WhatsApp	2
37_03/23/2020	Adobe After Effects CC 2019 (16.1.1)	0
37_03/23/2020	Adobe Illustrator 2019	0
37_03/23/2020	Adobe Premiere Pro CC 2019	0
37_03/23/2020	Anteprima	0
37_03/23/2020	Finder	92
37_03/23/2020	Foto	0
37_03/23/2020	Google Chrome	4
37_03/23/2020	InDesign	0
37_03/23/2020	Photoshop CC	1
37_03/23/2020	QuickTime Player	107
37_03/23/2020	Safari	234
37_03/23/2020	Skype	0
37_03/23/2020	Sublime Text	0
37_03/23/2020	Telegram	0
37_03/23/2020	TextEdit	0
37_03/23/2020	WhatsApp	0
38_03/24/2020	Adobe After Effects CC 2019 (16.1.1)	0
38_03/24/2020	Adobe Illustrator 2019	0
38_03/24/2020	Adobe Premiere Pro CC 2019	0
38_03/24/2020	Anteprima	62
38_03/24/2020	Finder	212
38_03/24/2020	Foto	0
38_03/24/2020	Google Chrome	0
38_03/24/2020	InDesign	0
38_03/24/2020	Photoshop CC	0
38_03/24/2020	QuickTime Player	40
38_03/24/2020	Safari	109
38_03/24/2020	Skype	0
38_03/24/2020	Sublime Text	0
38_03/24/2020	Telegram	0
38_03/24/2020	TextEdit	0
38_03/24/2020	WhatsApp	2
39_03/25/2020	Adobe After Effects CC 2019 (16.1.1)	0
39_03/25/2020	Adobe Illustrator 2019	0
39_03/25/2020	Adobe Premiere Pro CC 2019	0
39_03/25/2020	Anteprima	0
39_03/25/2020	Finder	15
39_03/25/2020	Foto	0
39_03/25/2020	Google Chrome	0
39_03/25/2020	InDesign	0
39_03/25/2020	Photoshop CC	0
39_03/25/2020	QuickTime Player	241
39_03/25/2020	Safari	241
39_03/25/2020	Skype	0
39_03/25/2020	Sublime Text	48
39_03/25/2020	Telegram	0
39_03/25/2020	TextEdit	0
39_03/25/2020	WhatsApp	65
40_03/26/2020	Adobe After Effects CC 2019 (16.1.1)	0
40_03/26/2020	Adobe Illustrator 2019	0
40_03/26/2020	Adobe Premiere Pro CC 2019	0
40_03/26/2020	Anteprima	0
40_03/26/2020	Finder	28
40_03/26/2020	Foto	0
40_03/26/2020	Google Chrome	189
40_03/26/2020	InDesign	0
40_03/26/2020	Photoshop CC	0
40_03/26/2020	QuickTime Player	73
40_03/26/2020	Safari	17
40_03/26/2020	Skype	0
40_03/26/2020	Sublime Text	73
40_03/26/2020	Telegram	0
40_03/26/2020	TextEdit	0
40_03/26/2020	WhatsApp	98
41_03/27/2020	Adobe After Effects CC 2019 (16.1.1)	0
41_03/27/2020	Adobe Illustrator 2019	0
41_03/27/2020	Adobe Premiere Pro CC 2019	0
41_03/27/2020	Anteprima	4
41_03/27/2020	Finder	32
41_03/27/2020	Foto	0
41_03/27/2020	Google Chrome	0
41_03/27/2020	InDesign	0
41_03/27/2020	Photoshop CC	0
41_03/27/2020	QuickTime Player	0
41_03/27/2020	Safari	48
41_03/27/2020	Skype	94
41_03/27/2020	Sublime Text	0
41_03/27/2020	Telegram	0
41_03/27/2020	TextEdit	0
41_03/27/2020	WhatsApp	70
42_03/28/2020	Adobe After Effects CC 2019 (16.1.1)	0
42_03/28/2020	Adobe Illustrator 2019	0
42_03/28/2020	Adobe Premiere Pro CC 2019	0
42_03/28/2020	Anteprima	1
42_03/28/2020	Finder	894
42_03/28/2020	Foto	0
42_03/28/2020	Google Chrome	0
42_03/28/2020	InDesign	0
42_03/28/2020	Photoshop CC	0
42_03/28/2020	QuickTime Player	0
42_03/28/2020	Safari	116
42_03/28/2020	Skype	0
42_03/28/2020	Sublime Text	0
42_03/28/2020	Telegram	0
42_03/28/2020	TextEdit	0
42_03/28/2020	WhatsApp	0
43_03/29/2020	Adobe After Effects CC 2019 (16.1.1)	0
43_03/29/2020	Adobe Illustrator 2019	0
43_03/29/2020	Adobe Premiere Pro CC 2019	0
43_03/29/2020	Anteprima	10
43_03/29/2020	Finder	24
43_03/29/2020	Foto	0
43_03/29/2020	Google Chrome	0
43_03/29/2020	InDesign	0
43_03/29/2020	Photoshop CC	0
43_03/29/2020	QuickTime Player	92
43_03/29/2020	Safari	26
43_03/29/2020	Skype	0
43_03/29/2020	Sublime Text	0
43_03/29/2020	Telegram	0
43_03/29/2020	TextEdit	0
43_03/29/2020	WhatsApp	12
44_03/30/2020	Adobe After Effects CC 2019 (16.1.1)	0
44_03/30/2020	Adobe Illustrator 2019	0
44_03/30/2020	Adobe Premiere Pro CC 2019	0
44_03/30/2020	Anteprima	0
44_03/30/2020	Finder	159
44_03/30/2020	Foto	27
44_03/30/2020	Google Chrome	0
44_03/30/2020	InDesign	0
44_03/30/2020	Photoshop CC	0
44_03/30/2020	QuickTime Player	3
44_03/30/2020	Safari	110
44_03/30/2020	Skype	0
44_03/30/2020	Sublime Text	0
44_03/30/2020	Telegram	0
44_03/30/2020	TextEdit	0
44_03/30/2020	WhatsApp	20
45_03/31/2020	Adobe After Effects CC 2019 (16.1.1)	0
45_03/31/2020	Adobe Illustrator 2019	0
45_03/31/2020	Adobe Premiere Pro CC 2019	54
45_03/31/2020	Anteprima	0
45_03/31/2020	Finder	65
45_03/31/2020	Foto	1
45_03/31/2020	Google Chrome	0
45_03/31/2020	InDesign	0
45_03/31/2020	Photoshop CC	12
45_03/31/2020	QuickTime Player	29
45_03/31/2020	Safari	157
45_03/31/2020	Skype	0
45_03/31/2020	Sublime Text	16
45_03/31/2020	Telegram	0
45_03/31/2020	TextEdit	0
45_03/31/2020	WhatsApp	30
46_04/01/2020	Adobe After Effects CC 2019 (16.1.1)	0
46_04/01/2020	Adobe Illustrator 2019	33
46_04/01/2020	Adobe Premiere Pro CC 2019	0
46_04/01/2020	Anteprima	4
46_04/01/2020	Finder	45
46_04/01/2020	Foto	0
46_04/01/2020	Google Chrome	9
46_04/01/2020	InDesign	0
46_04/01/2020	Photoshop CC	23
46_04/01/2020	QuickTime Player	1
46_04/01/2020	Safari	397
46_04/01/2020	Skype	0
46_04/01/2020	Sublime Text	76
46_04/01/2020	Telegram	0
46_04/01/2020	TextEdit	26
46_04/01/2020	WhatsApp	51
47_04/02/2020	Adobe After Effects CC 2019 (16.1.1)	0
47_04/02/2020	Adobe Illustrator 2019	22
47_04/02/2020	Adobe Premiere Pro CC 2019	0
47_04/02/2020	Anteprima	9
47_04/02/2020	Finder	58
47_04/02/2020	Foto	0
47_04/02/2020	Google Chrome	112
47_04/02/2020	InDesign	18
47_04/02/2020	Photoshop CC	0
47_04/02/2020	QuickTime Player	0
47_04/02/2020	Safari	170
47_04/02/2020	Skype	48
47_04/02/2020	Sublime Text	27
47_04/02/2020	Telegram	0
47_04/02/2020	TextEdit	70
47_04/02/2020	WhatsApp	92
48_04/03/2020	Adobe After Effects CC 2019 (16.1.1)	0
48_04/03/2020	Adobe Illustrator 2019	0
48_04/03/2020	Adobe Premiere Pro CC 2019	0
48_04/03/2020	Anteprima	1
48_04/03/2020	Finder	24
48_04/03/2020	Foto	0
48_04/03/2020	Google Chrome	0
48_04/03/2020	InDesign	0
48_04/03/2020	Photoshop CC	0
48_04/03/2020	QuickTime Player	3
48_04/03/2020	Safari	235
48_04/03/2020	Skype	107
48_04/03/2020	Sublime Text	0
48_04/03/2020	Telegram	11
48_04/03/2020	TextEdit	6
48_04/03/2020	WhatsApp	34
49_04/04/2020	Adobe After Effects CC 2019 (16.1.1)	0
49_04/04/2020	Adobe Illustrator 2019	0
49_04/04/2020	Adobe Premiere Pro CC 2019	0
49_04/04/2020	Anteprima	12
49_04/04/2020	Finder	21
49_04/04/2020	Foto	0
49_04/04/2020	Google Chrome	0
49_04/04/2020	InDesign	0
49_04/04/2020	Photoshop CC	0
49_04/04/2020	QuickTime Player	0
49_04/04/2020	Safari	31
49_04/04/2020	Skype	0
49_04/04/2020	Sublime Text	0
49_04/04/2020	Telegram	0
49_04/04/2020	TextEdit	0
49_04/04/2020	WhatsApp	0
50_04/05/2020	Adobe After Effects CC 2019 (16.1.1)	0
50_04/05/2020	Adobe Illustrator 2019	0
50_04/05/2020	Adobe Premiere Pro CC 2019	0
50_04/05/2020	Anteprima	30
50_04/05/2020	Finder	20
50_04/05/2020	Foto	0
50_04/05/2020	Google Chrome	167
50_04/05/2020	InDesign	28
50_04/05/2020	Photoshop CC	0
50_04/05/2020	QuickTime Player	0
50_04/05/2020	Safari	267
50_04/05/2020	Skype	0
50_04/05/2020	Sublime Text	13
50_04/05/2020	Telegram	0
50_04/05/2020	TextEdit	0
50_04/05/2020	WhatsApp	3
51_04/06/2020	Adobe After Effects CC 2019 (16.1.1)	0
51_04/06/2020	Adobe Illustrator 2019	0
51_04/06/2020	Adobe Premiere Pro CC 2019	0
51_04/06/2020	Anteprima	1
51_04/06/2020	Finder	51
51_04/06/2020	Foto	0
51_04/06/2020	Google Chrome	79
51_04/06/2020	InDesign	87
51_04/06/2020	Photoshop CC	5
51_04/06/2020	QuickTime Player	40
51_04/06/2020	Safari	274
51_04/06/2020	Skype	0
51_04/06/2020	Sublime Text	101
51_04/06/2020	Telegram	0
51_04/06/2020	TextEdit	7
51_04/06/2020	WhatsApp	38
52_04/07/2020	Adobe After Effects CC 2019 (16.1.1)	0
52_04/07/2020	Adobe Illustrator 2019	0
52_04/07/2020	Adobe Premiere Pro CC 2019	0
52_04/07/2020	Anteprima	9
52_04/07/2020	Finder	798
52_04/07/2020	Foto	0
52_04/07/2020	Google Chrome	0
52_04/07/2020	InDesign	37
52_04/07/2020	Photoshop CC	1
52_04/07/2020	QuickTime Player	63
52_04/07/2020	Safari	165
52_04/07/2020	Skype	0
52_04/07/2020	Sublime Text	61
52_04/07/2020	Telegram	0
52_04/07/2020	TextEdit	6
52_04/07/2020	WhatsApp	1
53_04/08/2020	Adobe After Effects CC 2019 (16.1.1)	0
53_04/08/2020	Adobe Illustrator 2019	0
53_04/08/2020	Adobe Premiere Pro CC 2019	0
53_04/08/2020	Anteprima	0
53_04/08/2020	Finder	24
53_04/08/2020	Foto	0
53_04/08/2020	Google Chrome	151
53_04/08/2020	InDesign	0
53_04/08/2020	Photoshop CC	61
53_04/08/2020	QuickTime Player	86
53_04/08/2020	Safari	211
53_04/08/2020	Skype	40
53_04/08/2020	Sublime Text	40
53_04/08/2020	Telegram	5
