time	type	activeApp	leftMouseDown	leftMouseUp	rightMouseDown	rightMouseUp	mouseMoved	leftMouseDragged	rightMouseDragged	keyDown	keyUp	flagsChanged	scrollWheel
1583233175.441144	didWake	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583233372.331337	appActivated	iTunes	0	0	0	0	16847	9140	0	5	5	100	10
1583233379.285928	appActivated	Pages	0	0	0	0	940	24	0	0	0	0	0
1583233399.969929	appActivated	Photoshop	0	0	0	0	836	0	0	0	0	0	408
1583233501.554630	appActivated	Pages	34	34	0	0	3684	137	0	18	18	28	141
1583233535.781928	appActivated	Photoshop	1	0	0	0	1796	0	0	0	0	0	85
1583233759.814367	appActivated	Lightroom Classic	14	15	0	0	12513	12011	0	0	0	22	53
1583233825.768113	appActivated	Photoshop	0	0	2	2	5075	56	20	0	0	2	0
1583234515.020019	appActivated	Pages	0	0	6	6	49129	32192	37	18	18	124	217
1583234548.368814	appActivated	Photoshop	0	0	0	0	605	1	0	0	0	0	53
1583234564.654987	appActivated	Pages	0	0	0	0	2031	290	0	0	0	0	0
1583234585.134042	appActivated	Photoshop	0	0	0	0	1039	8	0	0	0	0	0
1583234713.821320	appActivated	Pages	0	0	1	1	7728	8449	1	4	4	8	95
1583234729.540063	appActivated	Photoshop	0	0	0	0	723	5	0	0	0	0	0
1583234763.660727	appActivated	Lightroom Classic	0	0	0	0	2056	956	0	0	0	2	0
1583234766.974704	appActivated	Photoshop	0	0	0	0	310	3	0	0	0	0	0
1583235152.928346	appActivated	Lightroom Classic	0	0	1	1	26126	23052	1	21	21	94	439
1583235246.253168	appActivated	Photoshop	0	0	0	0	7171	1461	0	2	2	10	278
1583235261.331624	appActivated	Lightroom Classic	0	0	0	0	1984	69	0	0	0	0	0
1583235289.280612	appActivated	Photoshop	0	0	1	1	2676	6	18	0	0	0	0
1583235291.819976	appActivated	Lightroom Classic	0	0	0	0	144	6	0	0	0	0	0
1583235442.034748	appActivated	Photoshop	0	0	0	0	14237	2848	0	4	4	6	132
1583235625.184169	screenDidSleep	Photoshop	0	0	0	0	459	0	0	0	0	0	0
1583235627.099823	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583235651.005919	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583246529.268605	screenDidWake	loginwindow	1	1	0	0	0	0	0	0	0	0	0
1583246529.404014	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583246530.192728	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583247134.685062	appActivated	Pages	43	43	0	0	23304	21258	0	43	43	116	11
1583247163.286918	appActivated	Photoshop	0	0	0	0	260	0	0	0	0	0	256
1583247180.913994	appActivated	Pages	0	0	0	0	896	45	0	2	2	8	0
1583247230.957117	appActivated	Photoshop	0	0	0	0	763	1	0	0	0	1	49
1583247278.498840	appActivated	Pages	0	0	0	0	3163	402	0	12	12	3	0
1583247460.026952	appActivated	Photoshop	0	0	0	0	588	1	0	0	0	0	0
1583247504.185035	appActivated	Pages	0	0	0	0	4168	158	0	2	2	0	0
1583247537.508207	appActivated	Photoshop	0	0	0	0	1362	18	0	0	0	0	126
1583247579.373551	appActivated	Pages	0	0	0	0	2581	127	0	1	1	2	0
1583247600.591737	appActivated	Photoshop	0	0	0	0	54	14	0	1	1	2	0
1583247655.186850	appActivated	Pages	0	0	0	0	4087	67	0	3	3	6	0
1583247668.727884	appActivated	Photoshop	0	0	0	0	1238	0	0	0	0	0	0
1583247718.526404	appActivated	Pages	0	0	0	0	4263	223	0	0	0	0	0
1583247740.375320	appActivated	Photoshop	0	0	0	0	800	0	0	0	0	0	0
1583247757.799407	appActivated	Pages	0	0	0	0	1288	19	0	0	0	0	0
1583247770.349491	appActivated	Photoshop	0	0	0	0	505	0	0	0	0	0	0
1583247772.951827	appActivated	Pages	0	0	0	0	289	26	0	0	0	0	0
1583247791.747512	appActivated	Photoshop	0	0	0	0	845	1	0	0	0	0	0
1583247798.018294	appActivated	Pages	0	0	0	0	729	37	0	0	0	0	0
1583247808.767558	appActivated	Photoshop	0	0	0	0	420	1	0	0	0	0	0
1583247821.786002	appActivated	Pages	0	0	0	0	1145	122	0	0	0	4	103
1583247835.034300	appActivated	Photoshop	0	0	0	0	776	1	0	0	0	0	0
1583247938.746506	appActivated	Pages	0	0	0	0	1875	9981	0	0	0	0	39
1583248007.360183	appActivated	Photoshop	0	0	0	0	1510	26	0	0	0	0	800
1583249463.065147	appActivated	Lightroom Classic	49	49	2	2	83201	64013	0	62	62	366	991
1583249486.196600	appActivated	Photoshop	7	7	0	0	920	0	0	0	0	0	0
1583249685.482436	screenDidSleep	Photoshop	0	0	0	0	57	0	0	1	1	2	0
1583249687.878600	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583249694.435465	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583249901.936945	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583249902.507193	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583249906.022342	appActivated	Lightroom Classic	1	1	0	0	113	0	0	0	0	0	0
1583249906.031590	didWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583250581.687256	appActivated	Photoshop	118	118	1	1	14964	7670	0	45	45	4	989
1583251427.355096	appActivated	Lightroom Classic	0	0	1	1	56869	46376	2	45	45	394	1800
1583251510.854739	appActivated	Photoshop	0	0	1	1	7585	96	7	0	0	0	8
1583252057.226298	screenDidSleep	Photoshop	0	0	3	3	23741	14317	26	15	15	158	178
1583252057.802819	willSleep	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252059.007809	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583252188.481351	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583252188.933728	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252192.045423	didWake	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252365.137604	screenDidSleep	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252366.830912	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583252400.197235	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583252621.935883	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583252622.019923	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252626.031907	didWake	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252640.370082	appActivated	Lightroom Classic	1	1	0	0	107	0	0	1	1	2	7
1583252766.418793	appActivated	Photoshop	32	32	0	0	3356	6	0	5	5	2	2
1583252773.519443	appActivated	Lightroom Classic	2	2	0	0	332	0	0	0	0	0	0
1583252799.865954	appActivated	Photoshop	1	1	1	1	248	0	0	0	0	0	2
1583252972.190964	screenDidSleep	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252973.178520	willSleep	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583252973.782830	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583259141.201081	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583259141.206032	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583259155.737464	appActivated	Photoshop	1	1	0	0	0	0	0	0	0	0	0
1583259717.326439	screenDidSleep	Photoshop	5	5	0	0	709	131	0	0	0	0	73
1583259717.794802	willSleep	Photoshop	0	0	0	0	0	0	0	0	0	0	0
